,year,title,genre,avg_vote,movie_rating,duration,watchability
144,2005,Mr. & Mrs. Smith,"Action, Comedy, Crime",6.5,good,120,really long movie
145,2005,The Ballad of Jack and Rose,Drama,6.6,good,112,really long movie
146,2005,Rx,"Thriller, Crime, Romance",5.4,okay,89,avg length movie
147,2005,Elektra,"Action, Adventure, Crime",4.7,okay,97,really long movie
148,2005,Boogeyman,"Drama, Horror, Mystery",4.2,okay,89,avg length movie
149,2005,Dr. Rage,"Horror, Thriller",2.6,bad,88,avg length movie
150,2005,Robots,"Animation, Adventure, Come",6.3,good,91,really long movie
151,2005,Walk the Line,"Biography, Drama, Music",7.8,good,136,really long movie
152,2005,Into the Sun,"Action, Thriller",4.4,okay,97,really long movie
153,2005,Ainoa,"Adventure, Sci-Fi",4.9,okay,95,really long movie
154,2006,Agua,Drama,6.0,okay,89,avg length movie
155,2005,Silence Becomes You,"Drama, Horror, Mystery",4.3,okay,88,avg length movie
156,2005,Standing Still,"Comedy, Drama, Romance",5.7,okay,90,no data
157,2006,10th & Wolf,"Crime, Drama, Thriller",6.3,good,107,really long movie
158,2005,Constantine,"Action, Fantasy, Horror",7.0,good,121,really long movie
159,2005,King Kong,"Action, Adventure, Drama",7.2,good,187,really long movie
160,2005,Valiant,"Animation, Adventure, Come",5.5,okay,76,avg length movie
161,2005,Happy Endings,"Comedy, Drama, Music",6.3,good,128,really long movie
162,2005,Duma,"Adventure, Drama, Family",7.2,good,100,really long movie
163,2006,Lurking in Suburbia,Comedy,5.9,okay,87,avg length movie
164,2006,Scary Movie 4,Comedy,5.0,okay,83,avg length movie
165,2005,Son of the Mask,"Comedy, Family, Fantasy",2.2,bad,94,really long movie
166,2006,Ne le dis à personne,"Crime, Drama, Mystery",7.5,good,131,really long movie
167,2005,Hermanas,Drama,6.5,good,88,avg length movie
168,2005,Monobloc,Drama,4.8,okay,83,avg length movie
169,2005,Bewafaa,"Drama, Romance",4.3,okay,149,really long movie
