,year,title,genre,avg_vote,movie_rating
555,2005,Supercross,"Action, Drama, Romance",4.3,okay
556,2005,Last Days,"Drama, Music",5.8,okay
557,2005,Snuff-Movie,Horror,3.9,okay
559,2005,Nordkraft,"Crime, Drama, Romance",6.8,good
560,2005,Oskar & Josefine,"Family, Fantasy, Sci-Fi",5.2,okay
562,2005,Roll Bounce,"Comedy, Drama, Music",6.1,good
563,2005,The Sisterhood of the Traveling Pants,"Comedy, Drama, Romance",6.5,good
564,2005,Solkongen,"Comedy, Drama",6.1,good
565,2005,State Property 2,"Musical, Action, Crime",4.6,okay
567,2005,The Ape,"Comedy, Drama",4.5,okay
568,2005,Chasing Ghosts,"Crime, Drama, Mystery",5.4,okay
570,2005,Everything Is Illuminated,"Comedy, Drama",7.4,good
571,2005,The Exorcism of Emily Rose,"Drama, Horror, Thriller",6.7,good
575,2005,Les mauvais joueurs,"Crime, Drama",5.3,okay
576,2005,The Notorious Bettie Page,"Biography, Drama",6.5,good
579,2005,The Moguls,Comedy,6.3,good
581,2005,Sky High,"Adventure, Comedy, Family",6.2,good
583,2005,Suits on the Loose,Comedy,5.4,okay
584,2005,The 40 Year Old Virgin,"Comedy, Romance",7.1,good
589,2005,Barfuss,"Comedy, Drama, Romance",7.2,good
590,2005,The Deal,"Crime, Drama, Thriller",5.0,okay
